index,continent,output,output_clean
0,1,"{
  ""tags"": [
    ""Cultural Psychology of Surprise"",
    ""Holistic Theories"",
    ""Recognition of Contradiction"",
    ""East Asian Cognitive Style""
  ]
}","{
  ""tags"": [
    ""Cultural Psychology of Surprise"",
    ""Holistic Theories"",
    ""Recognition of Contradiction"",
    ""East Asian Cognitive Style""
  ]
}"
1,1,"{
  ""tags"": [
    ""Bilingualism"",
    ""Metacognitive"",
    ""Language"",
    ""Segmentation"",
    ""Confidence""
  ]
}","{
  ""tags"": [
    ""Bilingualism"",
    ""Metacognitive"",
    ""Language"",
    ""Segmentation"",
    ""Confidence""
  ]
}"
2,1,"{
  ""tags"": [
    ""Infant Development"",
    ""Error in Development"",
    ""Reinforcement Learning"",
    ""Child Development"",
    ""Error Reduction""
  ]
}","{
  ""tags"": [
    ""Infant Development"",
    ""Error in Development"",
    ""Reinforcement Learning"",
    ""Child Development"",
    ""Error Reduction""
  ]
}"
3,1,"{
  ""tags"": [
    ""probability matching"",
    ""choice under uncertainty"",
    ""intuition"",
    ""deliberation"",
    ""adaptive response""
  ]
}","{
  ""tags"": [
    ""probability matching"",
    ""choice under uncertainty"",
    ""intuition"",
    ""deliberation"",
    ""adaptive response""
  ]
}"
4,1,"{
  ""tags"": [
    ""Stochastic Choice"",
    ""Conscious Decision"",
    ""Preference Reversal"",
    ""Conscious Stochastic Preference""
  ]
}","{
  ""tags"": [
    ""Stochastic Choice"",
    ""Conscious Decision"",
    ""Preference Reversal"",
    ""Conscious Stochastic Preference""
  ]
}"
5,1,"{
  ""tags"": [
    ""Infant Probability Reasoning"",
    ""Single-Event Probability"",
    ""Large Set Sizes"",
    ""Choice Paradigm""
  ]
}","{
  ""tags"": [
    ""Infant Probability Reasoning"",
    ""Single-Event Probability"",
    ""Large Set Sizes"",
    ""Choice Paradigm""
  ]
}"
6,1,"{
  ""tags"": [
    ""sequential choice"",
    ""reinforcement"",
    ""balance"",
    ""psychological frameworks""
  ]
}","{
  ""tags"": [
    ""sequential choice"",
    ""reinforcement"",
    ""balance"",
    ""psychological frameworks""
  ]
}"
7,1,"{
  ""tags"": [
    ""Heated Tobacco Product Adoption"",
    ""South Korea Smoking"",
    ""Decision Process Modeling"",
    ""Health Policy Design""
  ]
}","{
  ""tags"": [
    ""Heated Tobacco Product Adoption"",
    ""South Korea Smoking"",
    ""Decision Process Modeling"",
    ""Health Policy Design""
  ]
}"
8,1,"{
  ""tags"": [
    ""Sex differences in mate search"",
    ""Sex differences in mate search"",
    ""Sex differences in mate search"",
    ""Sex differences in mate search""
  ]
}","{
  ""tags"": [
    ""Sex differences in mate search"",
    ""Sex differences in mate search"",
    ""Sex differences in mate search"",
    ""Sex differences in mate search""
  ]
}"
9,1,"{
  ""tags"": [
    ""cross-modal associations"",
    ""statistical learning"",
    ""perceptual system"",
    ""modalities""
  ]
}","{
  ""tags"": [
    ""cross-modal associations"",
    ""statistical learning"",
    ""perceptual system"",
    ""modalities""
  ]
}"
10,1,"{
  ""tags"": [
    ""Temporal Orienting"",
    ""Auditory Event Related Potential"",
    ""Temporal Sequence"",
    ""Predictable Stimulus""
  ]
}","{
  ""tags"": [
    ""Temporal Orienting"",
    ""Auditory Event Related Potential"",
    ""Temporal Sequence"",
    ""Predictable Stimulus""
  ]
}"
11,1,"{
  ""tags"": [
    ""Schema bias"",
    ""Source monitoring"",
    ""Probability matching"",
    ""Schematic knowledge""
  ]
}","{
  ""tags"": [
    ""Schema bias"",
    ""Source monitoring"",
    ""Probability matching"",
    ""Schematic knowledge""
  ]
}"
12,1,"{
  ""tags"": [
    ""Insight Problem Solving"",
    ""Dynamic Constraints"",
    ""Information Processing"",
    ""Strategic Moves""
  ]
}","{
  ""tags"": [
    ""Insight Problem Solving"",
    ""Dynamic Constraints"",
    ""Information Processing"",
    ""Strategic Moves""
  ]
}"
13,1,"{
  ""tags"": [
    ""Construal Level"",
    ""Subjective Probability"",
    ""Cognitive Distance"",
    ""Probability Judgments""
  ]
}","{
  ""tags"": [
    ""Construal Level"",
    ""Subjective Probability"",
    ""Cognitive Distance"",
    ""Probability Judgments""
  ]
}"
14,1,"{
  ""tags"": [
    ""Multisensory Decoding"",
    ""Neural Decoding"",
    ""Multisensory Integration"",
    ""Cue Integration""
  ]
}","{
  ""tags"": [
    ""Multisensory Decoding"",
    ""Neural Decoding"",
    ""Multisensory Integration"",
    ""Cue Integration""
  ]
}"
15,1,"{
  ""tags"": [
    ""Ant Navigation"",
    ""Route Learning"",
    ""Path Integration"",
    ""Visual Cues""
  ]
}","{
  ""tags"": [
    ""Ant Navigation"",
    ""Route Learning"",
    ""Path Integration"",
    ""Visual Cues""
  ]
}"
16,1,"{
  ""tags"": [
    ""Consistency Resolution"",
    ""Explanatory Hypothesis"",
    ""Rational Change"",
    ""Cognitive Relevance""
  ]
}","{
  ""tags"": [
    ""Consistency Resolution"",
    ""Explanatory Hypothesis"",
    ""Rational Change"",
    ""Cognitive Relevance""
  ]
}"
17,1,"{
  ""tags"": [
    ""judgmental overconfidence"",
    ""behavioral economic models"",
    ""single-cue probability learning"",
    ""signal reliability""
  ]
}","{
  ""tags"": [
    ""judgmental overconfidence"",
    ""behavioral economic models"",
    ""single-cue probability learning"",
    ""signal reliability""
  ]
}"
18,1,"{
  ""tags"": [
    ""problem-solving development"",
    ""knowledge representation"",
    ""information integration theory"",
    ""sequential decision rules""
  ]
}","{
  ""tags"": [
    ""problem-solving development"",
    ""knowledge representation"",
    ""information integration theory"",
    ""sequential decision rules""
  ]
}"
19,1,"{
  ""tags"": [
    ""Language Learning"",
    ""Object Names"",
    ""Category Formation"",
    ""Cross-Situational Learning""
  ]
}","{
  ""tags"": [
    ""Language Learning"",
    ""Object Names"",
    ""Category Formation"",
    ""Cross-Situational Learning""
  ]
}"
20,1,"{
  ""tags"": [
    ""Human Decision Making"",
    ""Interactive Landslide Simulator"",
    ""Reinforcement Learning"",
    ""Decision Theory"",
    ""Landslide Risk Management""
  ]
}","{
  ""tags"": [
    ""Human Decision Making"",
    ""Interactive Landslide Simulator"",
    ""Reinforcement Learning"",
    ""Decision Theory"",
    ""Landslide Risk Management""
  ]
}"
21,1,"{
  ""tags"": [
    ""cross-situational word learning"",
    ""referential learning"",
    ""cross-situational statistics"",
    ""word-to-referent mapping""
  ]
}","{
  ""tags"": [
    ""cross-situational word learning"",
    ""referential learning"",
    ""cross-situational statistics"",
    ""word-to-referent mapping""
  ]
}"
22,1,"{
  ""tags"": [
    ""Syllogistic reasoning"",
    ""Deductive reasoning"",
    ""Belief-based reasoning"",
    ""Verbal reasoning theory""
  ]
}","{
  ""tags"": [
    ""Syllogistic reasoning"",
    ""Deductive reasoning"",
    ""Belief-based reasoning"",
    ""Verbal reasoning theory""
  ]
}"
23,1,"{
  ""tags"": [
    ""Linguistic Entrenchment"",
    ""Statistical Learning"",
    ""Prior Knowledge"",
    ""Modality Specificity""
  ]
}","{
  ""tags"": [
    ""Linguistic Entrenchment"",
    ""Statistical Learning"",
    ""Prior Knowledge"",
    ""Modality Specificity""
  ]
}"
24,1,"{
  ""tags"": [
    ""Estimating Stimuli From Contrasting Categories"",
    ""Boundary Effects in Stimulus Estimation"",
    ""Category Boundary Effects"",
    ""Truncation of Stimulus Estimates""
  ]
}","{
  ""tags"": [
    ""Estimating Stimuli From Contrasting Categories"",
    ""Boundary Effects in Stimulus Estimation"",
    ""Category Boundary Effects"",
    ""Truncation of Stimulus Estimates""
  ]
}"
25,1,"{
  ""tags"": [
    ""change detection"",
    ""proportion detection"",
    ""inductive learning"",
    ""sample size effects""
  ]
}","{
  ""tags"": [
    ""change detection"",
    ""proportion detection"",
    ""inductive learning"",
    ""sample size effects""
  ]
}"
26,1,"{
  ""tags"": [
    ""Hot Hand Fallacy"",
    ""Conditional Dependence"",
    ""Streak Selection Bias"",
    ""Empirical Work""
  ]
}","{
  ""tags"": [
    ""Hot Hand Fallacy"",
    ""Conditional Dependence"",
    ""Streak Selection Bias"",
    ""Empirical Work""
  ]
}"
27,1,"{
  ""tags"": [
    ""Food Stockpiling"",
    ""Online Shopping"",
    ""China Food"",
    ""Stockpiling Behavior"",
    ""Household Food""
  ]
}","{
  ""tags"": [
    ""Food Stockpiling"",
    ""Online Shopping"",
    ""China Food"",
    ""Stockpiling Behavior"",
    ""Household Food""
  ]
}"
28,1,"{
  ""tags"": [
    ""Planning"",
    ""Rule-Governed Behavior"",
    ""Motivational Limits"",
    ""Dynamic Consistency""
  ]
}","{
  ""tags"": [
    ""Planning"",
    ""Rule-Governed Behavior"",
    ""Motivational Limits"",
    ""Dynamic Consistency""
  ]
}"
29,1,"{
  ""tags"": [
    ""Theory of Mind"",
    ""Persecutory Delusions"",
    ""Psychotic Depression"",
    ""Probabilistic Reasoning"",
    ""Cognitive Features""
  ]
}","{
  ""tags"": [
    ""Theory of Mind"",
    ""Persecutory Delusions"",
    ""Psychotic Depression"",
    ""Probabilistic Reasoning"",
    ""Cognitive Features""
  ]
}"
30,1,"{
  ""tags"": [
    ""confidence processing"",
    ""decisional locus"",
    ""postdecisional locus"",
    ""sensory discrimination task""
  ]
}","{
  ""tags"": [
    ""confidence processing"",
    ""decisional locus"",
    ""postdecisional locus"",
    ""sensory discrimination task""
  ]
}"
31,1,"{
  ""tags"": [
    ""Attention"",
    ""Implicit Sequence Learning"",
    ""Selection Mechanism"",
    ""Implicit Learning"",
    ""Attentional Control""
  ]
}","{
  ""tags"": [
    ""Attention"",
    ""Implicit Sequence Learning"",
    ""Selection Mechanism"",
    ""Implicit Learning"",
    ""Attentional Control""
  ]
}"
32,1,"{
  ""tags"": [
    ""markedness"",
    ""linguistic"",
    ""predictability"",
    ""meaning"",
    ""predictability_account""
  ]
}","{
  ""tags"": [
    ""markedness"",
    ""linguistic"",
    ""predictability"",
    ""meaning"",
    ""predictability_account""
  ]
}"
33,1,"{
  ""tags"": [
    ""Moros problem-solving"",
    ""cultural influence on decision making"",
    ""strategic problem solving"",
    ""cross-cultural comparison of problem solving strategies""
  ]
}","{
  ""tags"": [
    ""Moros problem-solving"",
    ""cultural influence on decision making"",
    ""strategic problem solving"",
    ""cross-cultural comparison of problem solving strategies""
  ]
}"
34,1,"{
  ""tags"": [
    ""Contingency Learning"",
    ""Cue-Density Effects"",
    ""Normative Standards"",
    ""Causal Judgment""
  ]
}","{
  ""tags"": [
    ""Contingency Learning"",
    ""Cue-Density Effects"",
    ""Normative Standards"",
    ""Causal Judgment""
  ]
}"
35,1,"{
  ""tags"": [
    ""Children's Predictions"",
    ""Consistency in Human Behavior"",
    ""Inductive Reasoning in Children"",
    ""Theories of Mind in Children""
  ]
}","{
  ""tags"": [
    ""Children's Predictions"",
    ""Consistency in Human Behavior"",
    ""Inductive Reasoning in Children"",
    ""Theories of Mind in Children""
  ]
}"
36,1,"{
  ""tags"": [
    ""cue validity"",
    ""probabilistic inference"",
    ""single-cue probability learning"",
    ""hypothesis construction"",
    ""memory-based learning""
  ]
}","{
  ""tags"": [
    ""cue validity"",
    ""probabilistic inference"",
    ""single-cue probability learning"",
    ""hypothesis construction"",
    ""memory-based learning""
  ]
}"
37,1,"{
  ""tags"": [
    ""Decision Making in Causal Learning"",
    ""Temporal Probability Information"",
    ""Conditional Probability"",
    ""Interventional Learning""
  ]
}","{
  ""tags"": [
    ""Decision Making in Causal Learning"",
    ""Temporal Probability Information"",
    ""Conditional Probability"",
    ""Interventional Learning""
  ]
}"
38,1,"{
  ""tags"": [
    ""Risky Choice"",
    ""Behavioral Reinforcement"",
    ""Strategy Matching"",
    ""Feedback Effects""
  ]
}","{
  ""tags"": [
    ""Risky Choice"",
    ""Behavioral Reinforcement"",
    ""Strategy Matching"",
    ""Feedback Effects""
  ]
}"
39,1,"{
  ""tags"": [
    ""Criteria Instability"",
    ""Choice Advantages"",
    ""Loss Aversion"",
    ""Decision Making""
  ]
}","{
  ""tags"": [
    ""Criteria Instability"",
    ""Choice Advantages"",
    ""Loss Aversion"",
    ""Decision Making""
  ]
}"
40,1,"{
  ""tags"": [
    ""Cage-Based Training"",
    ""Non-Human Primate Studies"",
    ""Neurophysiological Research"",
    ""Animal Enrichment"",
    ""Behavioral Task Training""
  ]
}","{
  ""tags"": [
    ""Cage-Based Training"",
    ""Non-Human Primate Studies"",
    ""Neurophysiological Research"",
    ""Animal Enrichment"",
    ""Behavioral Task Training""
  ]
}"
